,chain,iteration,parameter,mean,mean_errorbar,sd,lme,mean_se
0,1,1,alpha,0.2530341866849778,0,0.35333709949249764,-1293.6702843243938,0.07066741989849953
0,1,1,temperature,4.45151977426052,0,5.354803813014685,-1293.6702843243938,1.0709607626029372
0,1,2,alpha,0.21926145506402833,0,0.3214232267755921,-1292.8754117221213,0.06428464535511842
0,1,2,temperature,4.652763093627104,0,5.3986168788127324,-1292.8754117221213,1.0797233757625464
0,1,3,alpha,0.21926127438063434,0,0.3214067955267625,-1292.8793548644885,0.06428135910535249
0,1,3,temperature,4.652761545291766,0,5.394043668760886,-1292.8793548644885,1.0788087337521772
0,2,1,alpha,0.25303415659543665,0,0.3533415378329528,-1293.6689345832879,0.07066830756659055
0,2,1,temperature,4.451518854625926,0,5.356200959033416,-1293.6689345832879,1.0712401918066832
0,2,2,alpha,0.15564370349507797,0,0.35094855590495483,-1347.5364873394235,0.07018971118099096
0,2,2,temperature,3.587681099822812,0,5.685014005263724,-1347.5364873394235,1.1370028010527449
0,2,3,alpha,0.21926155919048135,0,0.3214044607061954,-1292.876414953228,0.06428089214123908
0,2,3,temperature,4.6527508536324556,0,5.393317919280263,-1292.876414953228,1.0786635838560525
0,2,4,alpha,0.21292423897699955,0,0.3329821173839452,-1296.2909009782716,0.06659642347678903
0,2,4,temperature,4.608536583451305,0,5.658288524024022,-1296.2909009782716,1.1316577048048044
0,2,5,alpha,0.21926143244478088,0,0.32141735417550465,-1292.8769661537012,0.06428347083510093
0,2,5,temperature,4.652761257598655,0,5.3970182418569745,-1292.8769661537012,1.079403648371395
0,2,6,alpha,0.21930261018417077,0,0.32137471796570405,-1293.1866621703098,0.06427494359314082
0,2,6,temperature,4.630436541088685,0,5.304760619850447,-1293.1866621703098,1.0609521239700896
0,2,7,alpha,0.21926148532641676,0,0.321480402246951,-1292.8714783462187,0.0642960804493902
0,2,7,temperature,4.652767143668378,0,5.414821517133571,-1292.8714783462187,1.0829643034267142
0,2,8,alpha,0.21926158654544592,0,0.3214139642341168,-1292.8768305690924,0.06428279284682335
0,2,8,temperature,4.6527548516419515,0,5.396077442460197,-1292.8768305690924,1.0792154884920395
0,2,9,alpha,0.21926376333242403,0,0.3214235443302538,-1292.8629156732136,0.06428470886605074
0,2,9,temperature,4.6518643280117,0,5.399850624864351,-1292.8629156732136,1.0799701249728701
0,3,1,alpha,0.21926231922062664,0,0.3213899724368647,-1293.149608783006,0.06427799448737294
0,3,1,temperature,4.638886464857104,0,5.321393405864956,-1293.149608783006,1.0642786811729914
0,3,2,alpha,0.16988677538262179,0,0.33464013897920375,-1317.7605703126492,0.06692802779584076
0,3,2,temperature,4.232884005810548,0,6.659281690292384,-1317.7605703126492,1.331856338058477
0,3,3,alpha,0.1091725080268499,0,0.3183857208486496,-1375.8020302469286,0.06367714416972992
0,3,3,temperature,3.055875251422499,0,6.508296519900155,-1375.8020302469286,1.301659303980031
0,3,4,alpha,0.13681724788928526,0,0.35176971380663685,-1367.2522412957405,0.07035394276132738
0,3,4,temperature,3.1166523761618175,0,6.202162273979901,-1367.2522412957405,1.2404324547959802
0,3,5,alpha,0.2192615408303001,0,0.3214037154797063,-1292.8773609711234,0.06428074309594126
0,3,5,temperature,4.652761754405178,0,5.393109929951856,-1292.8773609711234,1.0786219859903712
0,3,6,alpha,0.21926128439864598,0,0.32141024200557444,-1292.8768080603536,0.06428204840111489
0,3,6,temperature,4.652761712563912,0,5.395010785057413,-1292.8768080603536,1.0790021570114825
0,4,1,alpha,0.24707926229597582,0,0.354193452653292,-1298.8234599879495,0.0708386905306584
0,4,1,temperature,4.295388991961229,0,5.758788054825879,-1298.8234599879495,1.1517576109651757
0,4,2,alpha,0.21926107228698563,0,0.32141541555722597,-1292.8766509370494,0.06428308311144519
0,4,2,temperature,4.652766858270998,0,5.397032672898549,-1292.8766509370494,1.07940653457971
0,4,3,alpha,0.219261603511713,0,0.32141350082435277,-1292.8789985000037,0.06428270016487055
0,4,3,temperature,4.652740423044687,0,5.395880703229787,-1292.8789985000037,1.0791761406459575
